DateTime,Away,Home
"Sat, Nov 23, 2013 8:30 pm",Charlotte Bobcats,Milwaukee Bucks
"Sat, Nov 23, 2013 8:30 pm",Cleveland Cavaliers,San Antonio Spurs
"Sat, Nov 23, 2013 7:00 pm",New York Knicks,Washington Wizards
"Sun, Nov 24, 2013 2:00 pm",Detroit Pistons,Brooklyn Nets
"Sun, Nov 24, 2013 3:30 pm",Chicago Bulls,Los Angeles Clippers
"Sun, Nov 24, 2013 9:30 pm",Sacramento Kings,Los Angeles Lakers
"Sun, Nov 24, 2013 7:00 pm",Utah Jazz,Oklahoma City Thunder
"Sun, Nov 24, 2013 6:00 pm",Phoenix Suns,Orlando Magic
"Mon, Nov 25, 2013 7:00 pm",Boston Celtics,Charlotte Bobcats
"Mon, Nov 25, 2013 8:30 pm",Denver Nuggets,Dallas Mavericks
"Mon, Nov 25, 2013 7:30 pm",Milwaukee Bucks,Detroit Pistons
"Mon, Nov 25, 2013 7:00 pm",Minnesota Timberwolves,Indiana Pacers
"Mon, Nov 25, 2013 8:00 pm",Houston Rockets,Memphis Grizzlies
"Mon, Nov 25, 2013 7:30 pm",Phoenix Suns,Miami Heat
"Mon, Nov 25, 2013 10:00 pm",New York Knicks,Portland Trail Blazers
"Mon, Nov 25, 2013 8:30 pm",New Orleans Pelicans,San Antonio Spurs
"Mon, Nov 25, 2013 9:00 pm",Chicago Bulls,Utah Jazz
"Tue, Nov 26, 2013 7:30 pm",Orlando Magic,Atlanta Hawks
"Tue, Nov 26, 2013 8:00 pm",Golden State Warriors,New Orleans Pelicans
"Tue, Nov 26, 2013 7:00 pm",Brooklyn Nets,Toronto Raptors
"Tue, Nov 26, 2013 7:00 pm",Los Angeles Lakers,Washington Wizards
"Wed, Nov 27, 2013 7:30 pm",Memphis Grizzlies,Boston Celtics
"Wed, Nov 27, 2013 7:30 pm",Los Angeles Lakers,Brooklyn Nets
"Wed, Nov 27, 2013 7:00 pm",Indiana Pacers,Charlotte Bobcats
"Wed, Nov 27, 2013 7:30 pm",Miami Heat,Cleveland Cavaliers
"Wed, Nov 27, 2013 8:30 pm",Golden State Warriors,Dallas Mavericks
"Wed, Nov 27, 2013 7:30 pm",Chicago Bulls,Detroit Pistons
"Wed, Nov 27, 2013 8:00 pm",Atlanta Hawks,Houston Rockets
"Wed, Nov 27, 2013 10:30 pm",New York Knicks,Los Angeles Clippers
"Wed, Nov 27, 2013 8:00 pm",Washington Wizards,Milwaukee Bucks
"Wed, Nov 27, 2013 8:00 pm",Denver Nuggets,Minnesota Timberwolves
"Wed, Nov 27, 2013 8:00 pm",San Antonio Spurs,Oklahoma City Thunder
"Wed, Nov 27, 2013 7:00 pm",Philadelphia 76ers,Orlando Magic
"Wed, Nov 27, 2013 9:00 pm",Portland Trail Blazers,Phoenix Suns
"Fri, Nov 29, 2013 7:30 pm",Dallas Mavericks,Atlanta Hawks
"Fri, Nov 29, 2013 7:30 pm",Cleveland Cavaliers,Boston Celtics
"Fri, Nov 29, 2013 7:00 pm",Milwaukee Bucks,Charlotte Bobcats
"Fri, Nov 29, 2013 9:00 pm",New York Knicks,Denver Nuggets
"Fri, Nov 29, 2013 7:30 pm",Los Angeles Lakers,Detroit Pistons
"Fri, Nov 29, 2013 8:00 pm",Brooklyn Nets,Houston Rockets
"Fri, Nov 29, 2013 8:00 pm",Washington Wizards,Indiana Pacers
"Fri, Nov 29, 2013 8:00 pm",Golden State Warriors,Oklahoma City Thunder
"Fri, Nov 29, 2013 7:00 pm",San Antonio Spurs,Orlando Magic
"Fri, Nov 29, 2013 8:00 pm",New Orleans Pelicans,Philadelphia 76ers
"Fri, Nov 29, 2013 10:00 pm",Los Angeles Clippers,Sacramento Kings
