DateTime,Away,Home,Arena
2017-11-25 20:30:00,Oklahoma City Thunder,Dallas Mavericks,American Airlines Center
2017-11-25 20:30:00,New Orleans Pelicans,Golden State Warriors,Oracle Arena
2017-11-25 21:00:00,Milwaukee Bucks,Utah Jazz,Vivint Smart Home Arena
2017-11-25 22:00:00,Los Angeles Clippers,Sacramento Kings,Golden 1 Center
2017-11-26 15:30:00,Phoenix Suns,Minnesota Timberwolves,Target Center
2017-11-26 15:30:00,Miami Heat,Chicago Bulls,United Center
2017-11-26 18:00:00,Brooklyn Nets,Memphis Grizzlies,FedExForum
2017-11-27 19:00:00,Orlando Magic,Indiana Pacers,Bankers Life Fieldhouse
2017-11-27 19:00:00,Cleveland Cavaliers,Philadelphia 76ers,Wells Fargo Center
2017-11-27 19:30:00,Detroit Pistons,Boston Celtics,TD Garden
2017-11-27 19:30:00,Portland Trail Blazers,New York Knicks,Madison Square Garden
2017-11-27 20:00:00,Brooklyn Nets,Houston Rockets,Toyota Center
2017-11-27 20:30:00,Dallas Mavericks,San Antonio Spurs,AT&T Center
2017-11-27 22:30:00,Sacramento Kings,Golden State Warriors,Oracle Arena
2017-11-27 22:30:00,Los Angeles Lakers,Los Angeles Clippers,Staples Center
2017-11-28 19:00:00,Miami Heat,Cleveland Cavaliers,Quicken Loans Arena
2017-11-28 20:00:00,Phoenix Suns,Chicago Bulls,United Center
2017-11-28 20:00:00,Washington Wizards,Minnesota Timberwolves,Target Center
2017-11-28 22:00:00,Milwaukee Bucks,Sacramento Kings,Golden 1 Center
2017-11-28 22:00:00,Denver Nuggets,Utah Jazz,Vivint Smart Home Arena
2017-11-29 19:00:00,Washington Wizards,Philadelphia 76ers,Wells Fargo Center
2017-11-29 19:00:00,Oklahoma City Thunder,Orlando Magic,Amway Center
2017-11-29 19:00:00,Phoenix Suns,Detroit Pistons,Little Caesars Arena
2017-11-29 19:30:00,Charlotte Hornets,Toronto Raptors,Air Canada Centre
2017-11-29 19:30:00,Miami Heat,New York Knicks,Madison Square Garden
2017-11-29 20:00:00,Minnesota Timberwolves,New Orleans Pelicans,Smoothie King Center
2017-11-29 20:00:00,Indiana Pacers,Houston Rockets,Toyota Center
2017-11-29 20:30:00,Memphis Grizzlies,San Antonio Spurs,AT&T Center
2017-11-29 20:30:00,Brooklyn Nets,Dallas Mavericks,American Airlines Center
2017-11-29 22:30:00,Golden State Warriors,Los Angeles Lakers,Staples Center
2017-11-30 19:30:00,Cleveland Cavaliers,Atlanta Hawks,Philips Arena
2017-11-30 19:30:00,Philadelphia 76ers,Boston Celtics,TD Garden
2017-11-30 21:00:00,Chicago Bulls,Denver Nuggets,Pepsi Center
2017-11-30 22:00:00,Milwaukee Bucks,Portland Trail Blazers,Moda Center
2017-11-30 22:30:00,Utah Jazz,Los Angeles Clippers,Staples Center
2017-12-01 19:00:00,Golden State Warriors,Orlando Magic,Amway Center
2017-12-01 19:00:00,Detroit Pistons,Washington Wizards,Capital One Arena
2017-12-01 19:30:00,Indiana Pacers,Toronto Raptors,Air Canada Centre
2017-12-01 20:00:00,Sacramento Kings,Chicago Bulls,United Center
2017-12-01 20:00:00,San Antonio Spurs,Memphis Grizzlies,FedExForum
2017-12-01 20:00:00,Charlotte Hornets,Miami Heat,AmericanAirlines Arena
2017-12-01 20:00:00,Minnesota Timberwolves,Oklahoma City Thunder,Chesapeake Energy Arena
